Genomes	C	S	D	F	M	n
xanthomonadales/GCA_003172845.1_ASM317284v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003172845.1_ASM317284v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_003205835.1_ASM320583v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003205835.1_ASM320583v1_genomic.fna.txt;100.0	99.7	0.3	0.0	0.0	1152	   
xanthomonadales/GCA_003241275.1_ASM324127v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003241275.1_ASM324127v1_genomic.fna.txt;65.6	65.3	0.3	13.1	21.3	1152	   
xanthomonadales/GCA_003244375.1_ASM324437v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244375.1_ASM324437v1_genomic.fna.txt;99.7	99.6	0.1	0.1	0.2	1152	   
xanthomonadales/GCA_003244415.1_ASM324441v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244415.1_ASM324441v1_genomic.fna.txt;98.5	98.4	0.1	0.3	1.2	1152	   
xanthomonadales/GCA_003244425.1_ASM324442v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244425.1_ASM324442v1_genomic.fna.txt;98.4	98.3	0.1	0.2	1.4	1152	   
xanthomonadales/GCA_003244435.1_ASM324443v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244435.1_ASM324443v1_genomic.fna.txt;98.0	97.9	0.1	0.3	1.7	1152	   
xanthomonadales/GCA_003244465.1_ASM324446v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244465.1_ASM324446v1_genomic.fna.txt;97.8	97.5	0.3	0.8	1.4	1152	   
xanthomonadales/GCA_003244495.1_ASM324449v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244495.1_ASM324449v1_genomic.fna.txt;98.6	98.5	0.1	0.1	1.3	1152	   
xanthomonadales/GCA_003244505.1_ASM324450v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244505.1_ASM324450v1_genomic.fna.txt;96.6	96.6	0.0	0.3	3.1	1152	   
xanthomonadales/GCA_003244535.1_ASM324453v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244535.1_ASM324453v1_genomic.fna.txt;98.0	97.9	0.1	0.8	1.2	1152	   
xanthomonadales/GCA_003244545.1_ASM324454v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244545.1_ASM324454v1_genomic.fna.txt;97.6	97.4	0.2	1.1	1.3	1152	   
xanthomonadales/GCA_003244555.1_ASM324455v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244555.1_ASM324455v1_genomic.fna.txt;98.7	98.4	0.3	0.3	1.0	1152	   
xanthomonadales/GCA_003244595.1_ASM324459v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244595.1_ASM324459v1_genomic.fna.txt;96.8	96.6	0.2	0.1	3.1	1152	   
xanthomonadales/GCA_003244615.1_ASM324461v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244615.1_ASM324461v1_genomic.fna.txt;94.7	94.7	0.0	0.3	5.0	1152	   
xanthomonadales/GCA_003244625.1_ASM324462v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244625.1_ASM324462v1_genomic.fna.txt;99.3	99.1	0.2	0.2	0.5	1152	   
xanthomonadales/GCA_003244635.1_ASM324463v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244635.1_ASM324463v1_genomic.fna.txt;99.3	99.1	0.2	0.3	0.4	1152	   
xanthomonadales/GCA_003244645.1_ASM324464v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244645.1_ASM324464v1_genomic.fna.txt;96.3	96.1	0.2	0.4	3.3	1152	   
xanthomonadales/GCA_003244695.1_ASM324469v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244695.1_ASM324469v1_genomic.fna.txt;95.9	95.7	0.2	0.5	3.6	1152	   
xanthomonadales/GCA_003244715.1_ASM324471v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244715.1_ASM324471v1_genomic.fna.txt;98.5	98.3	0.2	0.3	1.2	1152	   
xanthomonadales/GCA_003244725.1_ASM324472v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244725.1_ASM324472v1_genomic.fna.txt;94.6	94.4	0.2	0.5	4.9	1152	   
xanthomonadales/GCA_003244735.1_ASM324473v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244735.1_ASM324473v1_genomic.fna.txt;99.1	99.0	0.1	0.3	0.6	1152	   
xanthomonadales/GCA_003244775.1_ASM324477v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244775.1_ASM324477v1_genomic.fna.txt;98.6	98.3	0.3	0.4	1.0	1152	   
xanthomonadales/GCA_003244785.1_ASM324478v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244785.1_ASM324478v1_genomic.fna.txt;96.7	96.6	0.1	0.4	2.9	1152	   
xanthomonadales/GCA_003244795.1_ASM324479v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244795.1_ASM324479v1_genomic.fna.txt;97.7	97.6	0.1	0.3	2.0	1152	   
xanthomonadales/GCA_003244805.1_ASM324480v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244805.1_ASM324480v1_genomic.fna.txt;97.4	97.3	0.1	0.3	2.3	1152	   
xanthomonadales/GCA_003244855.1_ASM324485v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244855.1_ASM324485v1_genomic.fna.txt;99.1	99.0	0.1	0.2	0.7	1152	   
xanthomonadales/GCA_003244865.1_ASM324486v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244865.1_ASM324486v1_genomic.fna.txt;98.7	98.5	0.2	0.3	1.0	1152	   
xanthomonadales/GCA_003244885.1_ASM324488v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003244885.1_ASM324488v1_genomic.fna.txt;94.7	94.7	0.0	1.6	3.7	1152	   
xanthomonadales/GCA_003385015.1_ASM338501v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003385015.1_ASM338501v1_genomic.fna.txt;99.1	99.0	0.1	0.3	0.6	1152	   
xanthomonadales/GCA_003385135.1_ASM338513v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003385135.1_ASM338513v1_genomic.fna.txt;98.8	98.6	0.2	0.3	0.9	1152	   
xanthomonadales/GCA_003487985.1_ASM348798v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003487985.1_ASM348798v1_genomic.fna.txt;55.8	55.7	0.1	8.5	35.7	1152	   
xanthomonadales/GCA_003751565.1_ASM375156v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003751565.1_ASM375156v1_genomic.fna.txt;99.3	99.2	0.1	0.3	0.4	1152	   
xanthomonadales/GCA_003812985.1_ASM381298v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003812985.1_ASM381298v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_003935155.1_ASM393515v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003935155.1_ASM393515v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_003935255.1_ASM393525v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003935255.1_ASM393525v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_003935325.1_ASM393532v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003935325.1_ASM393532v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_003935335.1_ASM393533v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003935335.1_ASM393533v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_003935615.1_ASM393561v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003935615.1_ASM393561v1_genomic.fna.txt;100.0	99.7	0.3	0.0	0.0	1152	   
xanthomonadales/GCA_003935735.1_ASM393573v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003935735.1_ASM393573v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_003935825.1_ASM393582v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003935825.1_ASM393582v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_003938995.1_ASM393899v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003938995.1_ASM393899v1_genomic.fna.txt;99.8	99.1	0.7	0.1	0.1	1152	   
xanthomonadales/GCA_003970865.1_ASM397086v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003970865.1_ASM397086v1_genomic.fna.txt;99.9	99.6	0.3	0.1	0.0	1152	   
xanthomonadales/GCA_004346945.1_ASM434694v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_004346945.1_ASM434694v1_genomic.fna.txt;99.8	99.6	0.2	0.0	0.2	1152	   
xanthomonadales/GCA_004522355.1_ASM452235v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_004522355.1_ASM452235v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_004522395.1_ASM452239v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_004522395.1_ASM452239v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_004522405.1_ASM452240v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_004522405.1_ASM452240v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_004522445.1_ASM452244v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_004522445.1_ASM452244v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_004522525.1_ASM452252v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_004522525.1_ASM452252v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_004684085.1_ASM468408v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_004684085.1_ASM468408v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_004793415.1_ASM479341v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_004793415.1_ASM479341v1_genomic.fna.txt;99.6	99.4	0.2	0.3	0.1	1152	   
xanthomonadales/GCA_004794075.1_ASM479407v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_004794075.1_ASM479407v1_genomic.fna.txt;99.9	99.6	0.3	0.0	0.1	1152	   
xanthomonadales/GCA_004920755.1_ASM492075v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_004920755.1_ASM492075v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_004920835.1_ASM492083v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_004920835.1_ASM492083v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_005464575.1_PDT000410348.1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_005464575.1_PDT000410348.1_genomic.fna.txt;48.6	47.8	0.8	0.3	51.1	1152	   
xanthomonadales/GCA_006120755.1_ASM612075v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_006120755.1_ASM612075v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_006120765.1_ASM612076v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_006120765.1_ASM612076v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_006120775.1_ASM612077v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_006120775.1_ASM612077v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_006149095.1_ASM614909v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_006149095.1_ASM614909v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_006370585.1_ASM637058v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_006370585.1_ASM637058v1_genomic.fna.txt;99.6	99.4	0.2	0.1	0.3	1152	   
xanthomonadales/GCA_006385155.1_ASM638515v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_006385155.1_ASM638515v1_genomic.fna.txt;99.5	99.3	0.2	0.1	0.4	1152	   
xanthomonadales/GCA_006385195.1_ASM638519v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_006385195.1_ASM638519v1_genomic.fna.txt;99.5	99.3	0.2	0.2	0.3	1152	   
xanthomonadales/GCA_006385275.1_ASM638527v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_006385275.1_ASM638527v1_genomic.fna.txt;99.5	99.3	0.2	0.1	0.4	1152	   
xanthomonadales/GCA_006385415.1_ASM638541v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_006385415.1_ASM638541v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_006385505.1_ASM638550v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_006385505.1_ASM638550v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_006716455.1_ASM671645v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_006716455.1_ASM671645v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_006970445.1_ASM697044v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_006970445.1_ASM697044v1_genomic.fna.txt;99.7	99.6	0.1	0.1	0.2	1152	   
xanthomonadales/GCA_006974125.1_ASM697412v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_006974125.1_ASM697412v1_genomic.fna.txt;99.5	99.4	0.1	0.4	0.1	1152	   
xanthomonadales/GCA_007833655.1_ASM783365v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_007833655.1_ASM783365v1_genomic.fna.txt;99.5	99.2	0.3	0.3	0.2	1152	   
xanthomonadales/GCA_008080405.1_ASM808040v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_008080405.1_ASM808040v1_genomic.fna.txt;99.7	99.5	0.2	0.2	0.1	1152	   
xanthomonadales/GCA_008093005.1_PDT000056899.2_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_008093005.1_PDT000056899.2_genomic.fna.txt;48.5	47.7	0.8	0.6	50.9	1152	   
xanthomonadales/GCA_008326785.1_CRB139-1_v1.0_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_008326785.1_CRB139-1_v1.0_genomic.fna.txt;93.4	93.3	0.1	3.1	3.5	1152	   
xanthomonadales/GCA_008326785.2_CRB139-1_v2.0_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_008326785.2_CRB139-1_v2.0_genomic.fna.txt;93.4	93.3	0.1	3.3	3.3	1152	   
xanthomonadales/GCA_008502035.1_CC2_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_008502035.1_CC2_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_008553765.1_ASM855376v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_008553765.1_ASM855376v1_genomic.fna.txt;99.9	99.7	0.2	0.1	0.0	1152	   
xanthomonadales/GCA_008693985.1_ASM869398v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_008693985.1_ASM869398v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_009618035.1_ASM961803v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009618035.1_ASM961803v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_009676385.1_ASM967638v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009676385.1_ASM967638v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_009676405.1_ASM967640v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009676405.1_ASM967640v1_genomic.fna.txt;99.8	99.4	0.4	0.1	0.1	1152	   
xanthomonadales/GCA_009676425.1_ASM967642v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009676425.1_ASM967642v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_009676445.1_ASM967644v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009676445.1_ASM967644v1_genomic.fna.txt;99.9	99.6	0.3	0.1	0.0	1152	   
xanthomonadales/GCA_009676465.1_ASM967646v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009676465.1_ASM967646v1_genomic.fna.txt;99.9	99.5	0.4	0.0	0.1	1152	   
xanthomonadales/GCA_009676485.1_ASM967648v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009676485.1_ASM967648v1_genomic.fna.txt;99.8	99.5	0.3	0.0	0.2	1152	   
xanthomonadales/GCA_009676505.1_ASM967650v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009676505.1_ASM967650v1_genomic.fna.txt;99.8	99.5	0.3	0.1	0.1	1152	   
xanthomonadales/GCA_009676525.1_ASM967652v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009676525.1_ASM967652v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_009676545.1_ASM967654v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009676545.1_ASM967654v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_009676565.1_ASM967656v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009676565.1_ASM967656v1_genomic.fna.txt;99.5	99.2	0.3	0.4	0.1	1152	   
xanthomonadales/GCA_009676585.1_ASM967658v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009676585.1_ASM967658v1_genomic.fna.txt;98.8	98.2	0.6	0.6	0.6	1152	   
xanthomonadales/GCA_009676605.1_ASM967660v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009676605.1_ASM967660v1_genomic.fna.txt;99.8	99.5	0.3	0.2	0.0	1152	   
xanthomonadales/GCA_009857175.1_ASM985717v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009857175.1_ASM985717v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_009911925.1_ASM991192v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_009911925.1_ASM991192v1_genomic.fna.txt;25.7	25.2	0.5	0.6	73.7	1152	   
xanthomonadales/GCA_010586845.1_ASM1058684v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010586845.1_ASM1058684v1_genomic.fna.txt;99.8	99.6	0.2	0.1	0.1	1152	   
xanthomonadales/GCA_010587145.1_ASM1058714v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010587145.1_ASM1058714v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_010587205.1_ASM1058720v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010587205.1_ASM1058720v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_010587285.1_ASM1058728v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010587285.1_ASM1058728v1_genomic.fna.txt;99.5	99.2	0.3	0.1	0.4	1152	   
xanthomonadales/GCA_010587505.1_ASM1058750v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010587505.1_ASM1058750v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_010587515.1_ASM1058751v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010587515.1_ASM1058751v1_genomic.fna.txt;99.8	99.6	0.2	0.1	0.1	1152	   
xanthomonadales/GCA_010587625.1_ASM1058762v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010587625.1_ASM1058762v1_genomic.fna.txt;99.7	98.5	1.2	0.0	0.3	1152	   
xanthomonadales/GCA_010587645.1_ASM1058764v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010587645.1_ASM1058764v1_genomic.fna.txt;99.8	99.5	0.3	0.1	0.1	1152	   
xanthomonadales/GCA_010587795.1_ASM1058779v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010587795.1_ASM1058779v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_010587825.1_ASM1058782v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010587825.1_ASM1058782v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_010587945.1_ASM1058794v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010587945.1_ASM1058794v1_genomic.fna.txt;99.6	99.4	0.2	0.2	0.2	1152	   
xanthomonadales/GCA_010604265.1_ASM1060426v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010604265.1_ASM1060426v1_genomic.fna.txt;99.7	99.5	0.2	0.2	0.1	1152	   
xanthomonadales/GCA_010604305.1_ASM1060430v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010604305.1_ASM1060430v1_genomic.fna.txt;99.8	99.6	0.2	0.2	0.0	1152	   
xanthomonadales/GCA_010604335.1_ASM1060433v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010604335.1_ASM1060433v1_genomic.fna.txt;99.6	99.5	0.1	0.1	0.3	1152	   
xanthomonadales/GCA_010604425.1_ASM1060442v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010604425.1_ASM1060442v1_genomic.fna.txt;99.8	99.6	0.2	0.0	0.2	1152	   
xanthomonadales/GCA_010604485.1_ASM1060448v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010604485.1_ASM1060448v1_genomic.fna.txt;99.8	95.9	3.9	0.1	0.1	1152	   
xanthomonadales/GCA_010604525.1_ASM1060452v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010604525.1_ASM1060452v1_genomic.fna.txt;99.5	98.5	1.0	0.3	0.2	1152	   
xanthomonadales/GCA_010604535.1_ASM1060453v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010604535.1_ASM1060453v1_genomic.fna.txt;99.7	96.4	3.3	0.2	0.1	1152	   
xanthomonadales/GCA_010604545.1_ASM1060454v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010604545.1_ASM1060454v1_genomic.fna.txt;99.8	99.0	0.8	0.1	0.1	1152	   
xanthomonadales/GCA_010604635.1_ASM1060463v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010604635.1_ASM1060463v1_genomic.fna.txt;99.5	99.2	0.3	0.3	0.2	1152	   
xanthomonadales/GCA_010604685.1_ASM1060468v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010604685.1_ASM1060468v1_genomic.fna.txt;99.3	99.0	0.3	0.3	0.4	1152	   
xanthomonadales/GCA_010604695.1_ASM1060469v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010604695.1_ASM1060469v1_genomic.fna.txt;99.5	99.2	0.3	0.3	0.2	1152	   
xanthomonadales/GCA_010604725.1_ASM1060472v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010604725.1_ASM1060472v1_genomic.fna.txt;99.8	99.6	0.2	0.0	0.2	1152	   
xanthomonadales/GCA_010604955.1_ASM1060495v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010604955.1_ASM1060495v1_genomic.fna.txt;99.7	99.5	0.2	0.1	0.2	1152	   
xanthomonadales/GCA_010604995.1_ASM1060499v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010604995.1_ASM1060499v1_genomic.fna.txt;99.9	99.6	0.3	0.0	0.1	1152	   
xanthomonadales/GCA_010605045.1_ASM1060504v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010605045.1_ASM1060504v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_010605085.1_ASM1060508v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010605085.1_ASM1060508v1_genomic.fna.txt;99.9	99.6	0.3	0.0	0.1	1152	   
xanthomonadales/GCA_010605095.1_ASM1060509v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010605095.1_ASM1060509v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_010605125.1_ASM1060512v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010605125.1_ASM1060512v1_genomic.fna.txt;99.8	99.6	0.2	0.1	0.1	1152	   
xanthomonadales/GCA_010605135.1_ASM1060513v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010605135.1_ASM1060513v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_010605185.1_ASM1060518v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010605185.1_ASM1060518v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_010607405.1_ASM1060740v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010607405.1_ASM1060740v1_genomic.fna.txt;99.8	99.2	0.6	0.0	0.2	1152	   
xanthomonadales/GCA_010607475.1_ASM1060747v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010607475.1_ASM1060747v1_genomic.fna.txt;99.8	99.3	0.5	0.1	0.1	1152	   
xanthomonadales/GCA_010607585.1_ASM1060758v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010607585.1_ASM1060758v1_genomic.fna.txt;99.7	99.5	0.2	0.1	0.2	1152	   
xanthomonadales/GCA_010607605.1_ASM1060760v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010607605.1_ASM1060760v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_010607635.1_ASM1060763v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010607635.1_ASM1060763v1_genomic.fna.txt;99.8	99.3	0.5	0.0	0.2	1152	   
xanthomonadales/GCA_010607735.1_ASM1060773v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010607735.1_ASM1060773v1_genomic.fna.txt;99.8	99.6	0.2	0.2	0.0	1152	   
xanthomonadales/GCA_010607825.1_ASM1060782v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010607825.1_ASM1060782v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_010607835.1_ASM1060783v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010607835.1_ASM1060783v1_genomic.fna.txt;99.8	99.6	0.2	0.0	0.2	1152	   
xanthomonadales/GCA_010607965.1_ASM1060796v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_010607965.1_ASM1060796v1_genomic.fna.txt;99.6	99.5	0.1	0.0	0.4	1152	   
